item,tier,term,source_type,relation,decision,in_primary_query,reason
NoInterest,core,interest pleasure enjoy enjoyment hobbies activities fun excited bored unmotivated stopped doing things i used to like care about,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Depressed,core,depressed down sad hopeless unhappy crying cry low mood blue empty despair miserable feeling bad,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Sleep,core,sleep asleep insomnia falling asleep staying asleep waking up early sleeping too much nights restless tossing turning in bed nap,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Tired,core,tired fatigue no energy low energy exhausted lethargic worn out drained sluggish run down,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Appetite,core,appetite eating eat food hungry hunger overeating poor appetite weight loss weight gain meals skipping meals eating too much snacking,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Failure,core,failure failing failed guilt guilty worthless bad about myself let myself down let my family down disappointed useless ashamed,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Concentrating,core,concentrate concentrating focus paying attention distracted forgetful remembering forget reading watching tv mind wandering thoughts,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
Moving,core,moving slowly speaking slowly slowed down restless fidgety fidget agitated sluggish pacing can't sit still,frozen_glossary(EXPAND),direct_construct,accept,yes,byte-identical frozen R0 glossary; kept as-is
NoInterest,lay,lost interest,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,nothing sounds fun,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,don't enjoy,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,not enjoying,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,can't be bothered,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,no motivation,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,don't feel like doing anything,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,stopped caring,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,couldn't care less,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,gave up,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,no point,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,apathetic,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,indifferent,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,withdrawn,reviewed_lay_expression,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,keep to myself,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,don't go out anymore,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,not fun anymore,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,lost my passion,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,nothing interests me,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,don't look forward to anything,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,activities seem pointless,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,bored with life,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,doesn't care much,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,doesn't seek out activities,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,doesn't get excited about anything,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,feel flat,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,feels detached,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,no enthusiasm,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,just going through the motions,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,no longer interested in friends,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,nothing feels good,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,stop participating,reviewed_lay_expression_mwe,indirect_manifestation,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
NoInterest,lay,uninterested in sex,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,feeling low,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,feel like crying,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,tearful,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,teary,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,gloomy,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,dark place,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,down in the dumps,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,heavy hearted,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,numb,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,empty inside,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,no hope,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,what's the point,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,given up hope,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,can't see things getting better,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,feel awful,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,feel terrible,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,hurting inside,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,broken,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,want to give up,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,really down,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,can't find joy,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,dejected,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,down on life,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,downcast,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,downer mood,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,downhearted,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,dreary,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,feeling gloomy,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,feeling lost,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,forlorn,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,morose,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,negative outlook,reviewed_lay_expression_mwe,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,sorrowful,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
Depressed,lay,sullen,reviewed_lay_expression,direct_paraphrase,accept,yes,"reviewed everyday expression, symptom-specific, not transcript-derived"
